country_alpha,loc_code,year,n,tradagg_mean,survsagg_mean
IRN,364011,2020,230,-0.8186419848316011,-0.8743261411533977
IRN,364012,2020,283,-0.33373046447891985,-0.7514910845507186
IRQ,2,2013,209,-0.34504709684927676,-1.9627945568515246
IRQ,368001,2013,170,-1.4059172368229118,-1.1150362612830023
IRQ,368002,2013,68,-1.0067286243643414,-1.2492025233166528
IRQ,368018,2013,71,-1.0298994944600426,-1.2547084309116887
ISR,4,2001,151,0.17072395475603697,0.5179029662979207
ISR,376001,2001,320,-0.35651161264221487,0.5790468248362706
ISR,376002,2001,173,0.5836165119790343,1.1950661566357352
ISR,376004,2001,63,1.3693219014789042,1.5260970643927039
ISR,376013,2001,51,0.9673990876341578,-1.7893992437509325
JOR,2,2014,253,-1.2254457287241565,-1.5095121691180415
JOR,4,2014,766,-1.4457232389349206,-1.5340216984619264
JOR,4,2001,844,-1.4349903212248505,-1.52424989159032
JOR,400002,2001,77,-1.500262719947573,-1.1939253799254486
JPN,4,2019,211,1.8720012728286899,1.2229305286882723
JPN,4,2010,340,1.9565573245264314,0.8420749104868184
JPN,4,2005,131,2.256540926462258,0.8584906971482746
JPN,4,2000,171,2.361311471292482,0.7464929459536653
JPN,4,1995,288,1.2719188355448943,0.7568977699829456
JPN,4,1990,93,2.089929138081174,0.04586226895957398
JPN,392001,2019,265,1.2620145955376507,1.143430663297108
JPN,392001,2010,253,1.2281548299622704,0.58560497610294
JPN,392001,2005,199,1.3988182164855543,0.6280729812934526
JPN,392001,2000,188,1.1865075274243655,0.7230913575918693
JPN,392001,1995,156,0.5625791639796287,0.7366950556161008
JPN,392001,1990,193,1.211730640388348,0.23583475290195446
JPN,392002,2010,165,1.4937149540912393,0.9478605647221159
JPN,392002,2005,182,1.9104016901423568,0.9601693773079527
JPN,392002,2000,204,1.82642706965434,1.0145820278957358
JPN,392010,1995,87,1.1268731268334107,0.808323561780785
